text,label,seed
What is a scenic route to see the ocean in California?,0,what is a scenic route to view ocean in california
Calculate the time it would take to reach San Francisco from Seattle if you are traveling at 65 km / h,4,calculate the time it would take to get to san francisco from seattle if traveling at 65 mph
Is there a way to get to the hospital without construction?,0,is there a way to get to the hospital without construction ?
how far away am I from the nearest rest area,1,how far am i from the nearest rest stop
Will the streets be cleared as I drive to 5th Ave now?,5,will the roads be cleared if i leave now to get to 5th ave ?
How bad is the traffic today?,6,how bad is the traffic today
"If I leave the art festival at 9 p.m., when will I make it home?",2,if i leave art festival at 9 pm what time i will make it home ?
Philadelphia traffic please,6,traffic in philadelphia please
Philadelphia traffic please,6,traffic in philadelphia please
When do I have to leave lynnwood to get to bothell by 8am?,3,what time do i have to leave lynnwood to arrive in bothell by 8 am ?
Are there currently floods on the Gallows Strait?,5,is there any flooding aking place on galm road right now ?
What is the distance between los angeles and honolulu?,1,what is the distance between los angeles and honolulu
I will be in the centre of Barclay until 7pm due to the current traffic conditions,2,will i be at the barclay 's center by 7 pm under current traffic conditions
Show me the quickest way home,0,show me the fastest route home
How long is the journey to the Catskills from Pennsylvania?,4,how long is the drive to the catskills from pennsylvania
Fastest route home,0,fastest route home
Is there snow or ice on the roads to Grandma's house?,5,is there any snow or ice on the roads to grandma 's house ?
Will there be heavy traffic to Homer Glen at 8am on Wednesday?,6,is there heavy traffic going to homer glen on wednesday at 8 am
When should I go to make it to the lil kim concert at 9pm?,3,what time should i leave to make it to the lil kim concert at 9 pm ?
Please find a good way to the dentist,0,find a good route to the dentist please
I can now make it to Providence in 10 minutes,2,can i make it to providence in 10 minutes right now
will be built on 4th Avenue,6,is construction ongoing on 4th avenue
How long should I stay here to arrive at the cruise ship pier tomorrow morning at 6 a.m.?,3,what time should i leave here to get to the cruise ship dock by 6am tomorrow morning ?
"how many miles is it between tulsa, ok and oklahoma city, ok",1,"how many miles is it between tulsa , ok and oklahoma city , ok"
When am I expected to go to the airport?,2,when am i expected to get to the airport
Route to work with low traffic,0,route drive to work with least traffic
how far away is georgia from hawaii,1,how far away is georgia from hawaii
What are the road conditions on the i-10?,5,what are the road conditions on i - 10 ?
Are there any traffic accidents in my area?,6,are there any traffic accidents in my area
How long will it take me to get to my lunch meeting when I drive the back roads?,4,how long will it take me to get to my noon meeting if i take the back roads ?
What time will Abeer arrive here when she leaves her clinic at 7pm?,2,what time will abeer arrive here if she left her clinic at 7 pm ?
"If I go now, when will I be with grandma's without using the highways",2,if i leave now when will i be at granny 's without using the freeways
How far is my house from Tina's house?,1,what is the distance from my house to tina 's house
"If I go now, when will I be with grandma's without using the highways",2,if i leave now when will i be at granny 's without using the freeways
How long will it take to get to my doctor's appointment at 3pm if I'm not driving on the motorway?,4,how long will it take to get to my doctors appointment at 3 pm if i don't take the highway
How long will it take to get to Cindy's house?,4,how long will it take me to get to cindy 's house ?
Are there traffic obstructions due to road works?,6,are there any traffic delays due to road construction
How far is Durham?,1,how far to durham ?
any construction I should look for on johnstion street,6,any construction i should look for on johnstion street
Can you tell me how long it will take me to get to Charlotte?,4,can you tell me how long it will take me to get to charlotte
Which direction of 80 is supported?,6,what direction of 80 is backed up
How long will it take me to get from here to omar's house if I leave in 15 minutes?,4,how long will it take me to get to omar 's house from here if i leave in 15 minutes ?
How long is the journey between Hartford Connect and Charlotte North Carolina?,4,how long is the drive between hartford conneticut and charlotte north carolina
Can I get to my girlfriend by 5pm?,2,will i make it to my girlfriend 's by 5 pm ?
When do I arrive at the mall when I leave my house at 7: 15 a.m.?,2,when will i arrive at the mall if i leave my house at 7 : 15
Are there floods on rivers?,5,is there flooding on river rd ?
I want to come to the regional park in cerritos without schusterblvd.,0,i want to get to regional park in cerritos without using shoemaker blvd .
