label,text,seed
0,"If I depart from my place of residence at this moment, can you advise me on the quickest route to reach Savannah by car?","if i leave home now , tell me the fastest way to drive to savannah ."
0,"In the event that I set out from home soon, please inform me of the most expedient driving directions to get to Savannah.","if i leave home now , tell me the fastest way to drive to savannah ."
0,"Should I decide to leave my house now, could you guide me on the fastest route to Savannah that I can take by driving?","if i leave home now , tell me the fastest way to drive to savannah ."
0,"Assuming that I head out from my home right now, can you direct me towards the quickest driving route to reach Savannah?","if i leave home now , tell me the fastest way to drive to savannah ."
0,"If I were to start my journey from home at present, can you provide me with the shortest driving route to Savannah?","if i leave home now , tell me the fastest way to drive to savannah ."
0,"Given that I leave home immediately, tell me the fastest driving directions to Savannah, please.","if i leave home now , tell me the fastest way to drive to savannah ."
0,"In case I depart from my current location now, could you let me know the quickest way to drive to Savannah?","if i leave home now , tell me the fastest way to drive to savannah ."
0,"Should I choose to leave right now, please advise me on the fastest driving route to reach Savannah.","if i leave home now , tell me the fastest way to drive to savannah ."
0,"If I decide to depart from my residence now, tell me the quickest way to drive to Savannah.","if i leave home now , tell me the fastest way to drive to savannah ."
0," Assume that I leave home now, can you tell me the fastest route for driving to Savannah?","if i leave home now , tell me the fastest way to drive to savannah ."
0," If I head out from home immediately, let me know the fastest driving directions to reach Savannah.","if i leave home now , tell me the fastest way to drive to savannah ."
0," Given that I depart from home right now, please guide me on the quickest driving route to Savannah.","if i leave home now , tell me the fastest way to drive to savannah ."
0," Should I set out from my place of residence now, can you inform me about the fastest way to drive to Savannah?","if i leave home now , tell me the fastest way to drive to savannah ."
0," If I start my journey from home at this moment, can you provide me with the quickest driving route to Savannah?","if i leave home now , tell me the fastest way to drive to savannah ."
0," In the scenario where I leave home now, tell me the fastest way to drive to Savannah.","if i leave home now , tell me the fastest way to drive to savannah ."
0,What is the fastest way for me to get to a Walmart?,what is my quickest route to a walmart
0,How can I reach a Walmart in the shortest time?,what is my quickest route to a walmart
0,"I need to know the quickest path to a Walmart, could you assist me?",what is my quickest route to a walmart
0,Can you guide me on the most efficient way to reach a Walmart?,what is my quickest route to a walmart
0,Tell me the speediest route to get to a Walmart.,what is my quickest route to a walmart
0,How do I reach Walmart in the shortest amount of time?,what is my quickest route to a walmart
0,"I am looking for the fastest way to reach a Walmart, do you have any suggestions?",what is my quickest route to a walmart
0,Please advise on the quickest method to reach a Walmart.,what is my quickest route to a walmart
0,What is the speediest route I can take to get to a Walmart?,what is my quickest route to a walmart
0, Could you help me find the quickest way to reach a Walmart?,what is my quickest route to a walmart
0, How can I reach Walmart in the quickest way possible?,what is my quickest route to a walmart
0, What is the fastest route to Walmart that I can take?,what is my quickest route to a walmart
0, Please provide guidance on the swiftest way to get to a Walmart.,what is my quickest route to a walmart
0," I need to reach a Walmart quickly, can you show me the best way?",what is my quickest route to a walmart
0, What is the most expedient path to reach a Walmart?,what is my quickest route to a walmart
0,Display the quickest way to get back to my place.,show me the fastest route home
0,Guide me to the fastest path leading to home.,show me the fastest route home
